antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'22386'}),frozenset({'20712'}),0.039837764758900406,0.022577737719693555,0.009058134294727354,0.22737556561085973,10.070786029750455,1.0,0.00815868769066205,1.265067759671729,0.9380736419283476,0.16976351351351351,0.20952850758010869,0.31428658520063946
frozenset({'20712'}),frozenset({'22386'}),0.022577737719693555,0.039837764758900406,0.009058134294727354,0.40119760479041916,10.070786029750455,1.0,0.00815868769066205,1.6034709328526362,0.9215084611980898,0.16976351351351351,0.3763528982586784,0.31428658520063946
frozenset({'20712'}),frozenset({'85099B'}),0.022577737719693555,0.0740423614240649,0.011942316358720144,0.5289421157684631,7.1437769622046225,1.0,0.010270607342340851,1.9656982073158622,0.8798838120706348,0.1410324640766365,0.49127490869237334,0.3451162191745541
frozenset({'85099B'}),frozenset({'20712'}),0.0740423614240649,0.022577737719693555,0.011942316358720144,0.16129032258064516,7.1437769622046225,1.0,0.010270607342340851,1.165388081949596,0.9287876575655813,0.1410324640766365,0.14191674388236047,0.3451162191745541
frozenset({'20713'}),frozenset({'85099B'}),0.01879224876070302,0.0740423614240649,0.009238395673726904,0.49160671462829736,6.639533169569031,1.0,0.007846973199015995,1.8213412041800237,0.8656545979412854,0.11051212938005392,0.45095405643655606,0.3081892368028888
frozenset({'85099B'}),frozenset({'20713'}),0.0740423614240649,0.01879224876070302,0.009238395673726904,0.12477175897748022,6.639533169569032,1.0,0.007846973199015995,1.1210878548582508,0.9173065440685068,0.11051212938005392,0.10800924685207763,0.3081892368028888
frozenset({'20719'}),frozenset({'20723'}),0.024290220820189275,0.022712933753943218,0.009734114465975665,0.4007421150278293,17.64378478664193,1.0,0.009182412289618053,1.630828881444658,0.9668067679706864,0.2611850060459492,0.386814882065274,0.4146567717996289
frozenset({'20723'}),frozenset({'20719'}),0.022712933753943218,0.024290220820189275,0.009734114465975665,0.42857142857142855,17.643784786641927,1.0,0.009182412289618053,1.7074921135646688,0.9652463955239938,0.2611850060459492,0.41434575770172277,0.4146567717996289
frozenset({'20719'}),frozenset({'20724'}),0.024290220820189275,0.03402433528616494,0.013068949977467327,0.5380333951762523,15.813193429087466,1.0,0.012242491360106224,2.0910075633765346,0.9600822769992309,0.2888446215139442,0.521761653322185,0.46106967772057644
frozenset({'20724'}),frozenset({'20719'}),0.03402433528616494,0.024290220820189275,0.013068949977467327,0.3841059602649006,15.813193429087466,1.0,0.012242491360106224,1.5842169532919506,0.9697570039333028,0.2888446215139442,0.36877332494010184,0.46106967772057644
frozenset({'22355'}),frozenset({'20719'}),0.02690401081568274,0.024290220820189275,0.011041009463722398,0.4103852596314908,16.89508146794579,1.0,0.010387505100060705,1.654825960711213,0.9668225813921179,0.27497194163860833,0.3957068454677743,0.43246535708847267
frozenset({'20719'}),frozenset({'22355'}),0.024290220820189275,0.02690401081568274,0.011041009463722398,0.4545454545454546,16.89508146794579,1.0,0.010387505100060705,1.7840093135045818,0.9642325989561683,0.27497194163860833,0.43946480972368995,0.43246535708847267
frozenset({'20724'}),frozenset({'20723'}),0.03402433528616494,0.022712933753943218,0.013519603424966201,0.3973509933774834,17.49448123620309,1.0,0.012746810951589584,1.6216521648698305,0.9760485187776999,0.3128258602711157,0.38334494803312535,0.4962945443077893
frozenset({'20723'}),frozenset({'20724'}),0.022712933753943218,0.03402433528616494,0.013519603424966201,0.5952380952380952,17.49448123620309,1.0,0.012746810951589584,2.386528112822416,0.9647514525500323,0.3128258602711157,0.5809812611772023,0.4962945443077893
frozenset({'22355'}),frozenset({'20723'}),0.02690401081568274,0.022712933753943218,0.010680486705723299,0.3969849246231156,17.478364042434393,1.0,0.010069417690351325,1.6206677181913776,0.9688524234588447,0.2743055555555556,0.38297037154786195,0.4336115099306054
frozenset({'20723'}),frozenset({'22355'}),0.022712933753943218,0.02690401081568274,0.010680486705723299,0.47023809523809523,17.478364042434393,1.0,0.010069417690351325,1.8368553503703966,0.9646975182028423,0.2743055555555556,0.45559131817409965,0.4336115099306054
frozenset({'22356'}),frozenset({'20723'}),0.022712933753943218,0.022712933753943218,0.009553853086976115,0.4206349206349206,18.519620811287474,1.0,0.009037975727265102,1.68682425132881,0.9679890860810993,0.2663316582914573,0.4071700123991924,0.4206349206349206
frozenset({'20723'}),frozenset({'22356'}),0.022712933753943218,0.022712933753943218,0.009553853086976115,0.4206349206349206,18.519620811287474,1.0,0.009037975727265102,1.68682425132881,0.9679890860810993,0.2663316582914573,0.4071700123991924,0.4206349206349206
frozenset({'20725'}),frozenset({'20724'}),0.05993690851735016,0.03402433528616494,0.010950878774222622,0.18270676691729323,5.369884977344022,1.0,0.008911565302812105,1.1819205465219877,0.8656613362057061,0.13192182410423453,0.1539194382036266,0.25228053577652737
frozenset({'20724'}),frozenset({'20725'}),0.03402433528616494,0.05993690851735016,0.010950878774222622,0.32185430463576153,5.369884977344022,1.0,0.008911565302812105,1.3862258477917981,0.8424397235013308,0.13192182410423453,0.2786168274145517,0.25228053577652737
frozenset({'20724'}),frozenset({'20727'}),0.03402433528616494,0.04835511491662911,0.00914826498422713,0.26887417218543047,5.560408090209415,1.0,0.007503014341502705,1.3016157395614945,0.8490452864140757,0.12492307692307694,0.23172410289315254,0.22903168068730984
frozenset({'20727'}),frozenset({'20724'}),0.04835511491662911,0.03402433528616494,0.00914826498422713,0.1891891891891892,5.560408090209415,1.0,0.007503014341502705,1.1913699864803968,0.8618310230755181,0.12492307692307694,0.1606301893215819,0.22903168068730984
frozenset({'22355'}),frozenset({'20724'}),0.02690401081568274,0.03402433528616494,0.013564668769716088,0.5041876046901173,14.818440990826094,1.0,0.01264927768518069,1.9482684859262147,0.9582985934441347,0.2863939105613701,0.48672372046063456,0.4514315506894295
frozenset({'20724'}),frozenset({'22355'}),0.03402433528616494,0.02690401081568274,0.013564668769716088,0.3986754966887417,14.818440990826094,1.0,0.01264927768518069,1.6182543432470473,0.9653623292857103,0.2863939105613701,0.382050167717463,0.4514315506894295
frozenset({'22356'}),frozenset({'20724'}),0.022712933753943218,0.03402433528616494,0.014691302388463272,0.6468253968253969,19.01066961000736,1.0,0.013918509915086655,2.735122106830185,0.9694162471731218,0.34941050375133975,0.634385610242853,0.5393067381477977
frozenset({'20724'}),frozenset({'22356'}),0.03402433528616494,0.022712933753943218,0.014691302388463272,0.43178807947019865,19.01066961000736,1.0,0.013918509915086655,1.7199341142558808,0.9807679373079691,0.34941050375133975,0.4185823795740896,0.5393067381477977
frozenset({'23204'}),frozenset({'20724'}),0.019513294276701218,0.03402433528616494,0.009598918431726002,0.4919168591224018,14.457794839637211,1.0,0.008934991564717916,1.9012157400958662,0.949358266002998,0.2184615384615384,0.474020765286965,0.3870180322102075
frozenset({'20724'}),frozenset({'23204'}),0.03402433528616494,0.019513294276701218,0.009598918431726002,0.2821192052980132,14.457794839637211,1.0,0.008934991564717916,1.365807126976182,0.9636196777899337,0.2184615384615384,0.26783219954786563,0.3870180322102075
frozenset({'20724'}),frozenset({'85099B'}),0.03402433528616494,0.0740423614240649,0.012753492564218117,0.3748344370860927,5.062432233073888,1.0,0.010234250433746327,1.4811398667898965,0.8307315814678445,0.13380614657210402,0.3248443159069644,0.27354016437384365
frozenset({'85099B'}),frozenset({'20724'}),0.0740423614240649,0.03402433528616494,0.012753492564218117,0.17224589166159465,5.062432233073888,1.0,0.010234250433746327,1.1669838361211993,0.8666341290097459,0.13380614657210402,0.14309010198137556,0.27354016437384365
frozenset({'20726'}),frozenset({'20725'}),0.03780982424515548,0.05993690851735016,0.01978368634520054,0.5232419547079856,8.729878928549024,1.0,0.017517482368361568,1.9717823343848577,0.9202451827780574,0.25375722543352597,0.4928446296725887,0.42665857133895524
frozenset({'20725'}),frozenset({'20726'}),0.05993690851735016,0.03780982424515548,0.01978368634520054,0.3300751879699248,8.729878928549024,1.0,0.017517482368361568,1.4362659189157614,0.9419057956612801,0.25375722543352597,0.3037501016838851,0.42665857133895524
frozenset({'20725'}),frozenset({'20727'}),0.05993690851735016,0.04835511491662911,0.023569175304191076,0.3932330827067669,8.132192083190267,1.0,0.020670919205087124,1.5683862418350474,0.9329500686539967,0.2781914893617021,0.36240195601947045,0.44032576782123056
frozenset({'20727'}),frozenset({'20725'}),0.04835511491662911,0.05993690851735016,0.023569175304191076,0.4874184529356943,8.132192083190267,1.0,0.020670919205087124,1.833977631201606,0.9215957963783857,0.2781914893617021,0.45473707912958083,0.44032576782123056
frozenset({'20728'}),frozenset({'20725'}),0.044569625957638574,0.05993690851735016,0.021000450653447498,0.4711830131445905,7.861316587728167,1.0,0.018329085059772,1.7776718881000777,0.9135096267424425,0.25148407987048027,0.43746649384844016,0.4107794764971072
frozenset({'20725'}),frozenset({'20728'}),0.05993690851735016,0.044569625957638574,0.021000450653447498,0.350375939849624,7.861316587728167,1.0,0.018329085059772,1.4707435155976165,0.9284428378028053,0.25148407987048027,0.3200717940315625,0.4107794764971072
frozenset({'21212'}),frozenset({'20725'}),0.04691302388463272,0.05993690851735016,0.009058134294727354,0.19308357348703167,3.221446989231002,1.0,0.00624631267388186,1.1650067598017124,0.7235231474195526,0.09262672811059908,0.1416358818637216,0.17210569651795193
frozenset({'20725'}),frozenset({'21212'}),0.05993690851735016,0.04691302388463272,0.009058134294727354,0.15112781954887217,3.2214469892310023,1.0,0.00624631267388186,1.1227685369649587,0.7335470299509165,0.09262672811059908,0.10934447566265418,0.17210569651795193
frozenset({'21931'}),frozenset({'20725'}),0.03564668769716088,0.05993690851735016,0.010815682739972961,0.3034134007585335,5.062213054760796,1.0,0.008679130480521678,1.349527958916109,0.8321202704176207,0.12759170653907498,0.2590001612095809,0.2419322642890412
frozenset({'20725'}),frozenset({'21931'}),0.05993690851735016,0.03564668769716088,0.010815682739972961,0.1804511278195489,5.062213054760797,1.0,0.008679130480521678,1.1766879865713542,0.8536213646532439,0.12759170653907498,0.15015704127836768,0.2419322642890412
frozenset({'20725'}),frozenset({'22382'}),0.05993690851735016,0.045110410094637225,0.02118071203244705,0.3533834586466165,7.833745202166254,1.0,0.01847693350942463,1.4767478541559678,0.9279665857489646,0.2525523911875336,0.32283632768740483,0.41145696408854304
frozenset({'22382'}),frozenset({'20725'}),0.045110410094637225,0.05993690851735016,0.02118071203244705,0.46953046953046956,7.833745202166255,1.0,0.01847693350942463,1.7721340010812292,0.9135581187749966,0.2525523911875336,0.4357085867152981,0.41145696408854304
frozenset({'22383'}),frozenset({'20725'}),0.04790446146913024,0.05993690851735016,0.02370437133844074,0.49482596425211667,8.255780561469525,1.0,0.020833126013792554,1.8608697695457297,0.9230930237036528,0.28173540439207284,0.4626168814359764,0.445157343028314
frozenset({'20725'}),frozenset({'22383'}),0.05993690851735016,0.04790446146913024,0.02370437133844074,0.3954887218045113,8.255780561469525,1.0,0.020833126013792554,1.5749839132413643,0.934908260392477,0.28173540439207284,0.365072880051219,0.445157343028314
frozenset({'22384'}),frozenset({'20725'}),0.04285714285714286,0.05993690851735016,0.023884632717440287,0.5573080967402734,9.298245614035087,1.0,0.02131590806669671,2.1235154394299287,0.9324134046747394,0.3026841804683038,0.5290827740492169,0.4779021686708885
frozenset({'20725'}),frozenset({'22384'}),0.05993690851735016,0.04285714285714286,0.023884632717440287,0.39849624060150374,9.298245614035087,1.0,0.02131590806669671,1.59125,0.9493541851335949,0.3026841804683038,0.37156323644933226,0.4779021686708885
